#node	date	numeric date
NODE_0000392	1335-06-15	1335.456132
A2/GQ477469/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000393	1537-12-19	1537.967306
A2/GQ477466/Poland/2006/Poland	2006-01-01	2006.000000
A2/GQ477483/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000394	1061-01-03	1061.008848
NODE_0000395	1174-09-03	1174.673675
A2/AL73AC/Belgium/2003/Belgium	2003-01-01	2003.000000
A2/GQ477462/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000396	1683-05-26	1683.399955
A2/KJ843173/Argentina/2013/Argentina	2013-01-01	2013.000000
NODE_0000397	1761-04-05	1761.261557
A2/KJ843217/Argentina/2013/Argentina	2013-01-01	2013.000000
NODE_0000398	1857-08-02	1857.586711
A2/KJ843218/Argentina/2013/Argentina	2013-01-01	2013.000000
NODE_0000399	1927-06-10	1927.442495
A2/KJ843182/Argentina/2012/Argentina	2012-01-01	2012.000000
A2/KJ843186/Argentina/2013/Argentina	2013-01-01	2013.000000
NODE_0000240	0995-07-18	995.546271
NODE_0000241	1021-03-13	1021.197407
NODE_0000242	1053-12-13	1053.952394
A/74a/Belgium/1998/Belgium	1998-01-01	1998.000000
NODE_0000243	1822-01-05	1822.016236
A2/KF779210/USA/1998/USA	1998-01-01	1998.000000
A2/KF779211/USA/1999/USA	1999-01-01	1999.000000
NODE_0000244	1225-05-10	1225.356842
A/AB453983/Japan/2006/Japan	2006-01-01	2006.000000
NODE_0000245	1342-11-04	1342.845463
A2/GQ477460/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000246	1398-06-30	1398.497859
A2/AL36MR/Belgium/1999/Belgium	1999-01-01	1999.000000
